id,繁體字,部首,筆畫,普通話拼音,粵拼,學習階段,字例,相關詞語數目,相關詞語
0034,乓,丿,6,pɑ̄ng,pong1〔旁1〕；bam1〔泵〕,第一學習階段,,1,乒乓
0035,乖,丿,8,guɑ̄i,gwaai1〔怪1〕,第一學習階段,,1,乖巧
0036,乘,丿,10,chéng,sing4〔成〕,第一學習階段,,6,乘坐、乘客、乘涼、乘搭、乘數、乘機
0037,乙,乙,1,yǐ,jyut6〔月〕；jyut3〔月3〕,第一學習階段,,0,
0038,九,乙,2,jiǔ,gau2〔久〕,第一學習階段,,0,
0039,也,乙,3,yě,jaa5〔衣呀5〕,第一學習階段,,1,也許
0040,乞,乙,3,qǐ,hat1〔劾1〕,第一學習階段,,1,乞丐
0042,乳,乙,8,rǔ,jyu5〔羽〕,第二學習階段,,1,乳汁
0043,乾,乙,11,gɑ̄n,gon1〔干〕,第一學習階段,,5,乾旱、乾脆、乾淨、乾燥、餅乾
0044,亂,乙,13,luɑ̀n,lyun6〔聯6〕,第一學習階段,,8,叛亂、胡亂、紊亂、混亂、眼花繚亂、搗亂、戰亂、霍亂
0045,了,亅,2,le；liɑ̌o,liu5〔瞭5〕,第一學習階段,①為了 ②不得了,11,了不起、一目了然、不了了之、不得了、少不了、受不了、為了、除了、得了、算了、罷了
0046,予,亅,4,yǔ,jyu5〔羽〕,第二學習階段,,2,予以、給予
0047,事,亅,8,shì,si6〔士〕,第一學習階段,①真有本事 ②本事已無法查考了,40,事半功倍、事件、事先、事事、事例、事宜、事物、事故、事務、事情、事項、事業、事跡、事實、事實上、一事無成、人事、大事、心事、出事、本事、刑事、同事、往事、故事、軍事、家事、時事、做事、從事、理事、無濟於事、董事、實事求是、樂事、戰事、辦事、辦事處、賽事、壞事
0048,二,二,2,èr,ji6〔義〕,第一學習階段,,6,二手、二世祖、二胡、二氧化碳、接二連三、獨一無二
0050,云,二,4,yún,wan4〔雲〕,第二學習階段,,0,
0051,井,二,4,jǐng,zeng2〔鄭2〕,第一學習階段,,1,龍井
0052,互,二,4,hù,wu6〔户〕,第一學習階段,,5,互助、互相、互動、互聯網、相互
0053,五,二,4,wǔ,ng5〔午〕,第一學習階段,,4,五光十色、五味、五花八門、五彩繽紛
0055,些,二,8,xiē,se1〔賒〕,第一學習階段,,7,一些、好些、有些、那些、某些、哪些、這些
0056,亞,二,8,yɑ̀,aa3〔呀3〕,第一學習階段,,2,亞洲、亞軍
0058,亡,亠,3,wɑ́ng,mong4〔忙〕,第二學習階段,,5,亡國、死亡、流亡、傷亡、滅亡
0059,交,亠,6,jiɑ̄o,gaau1〔郊〕,第一學習階段,,26,交叉、交代、交往、交易、交流、交界、交涉、交情、交通、交換、交替、交際、交談、交戰、交錯、交點、交織、交響樂、外交、打交道、成交、社交、建交、提交、轉交、繳交
0060,亦,亠,6,yì,jik6〔役〕,第二學習階段,,1,不亦樂乎
0062,亨,亠,7,hēng,hang1〔鏗〕,第二學習階段,,1,亨通
0063,享,亠,8,xiɑ̌ng,hoeng2〔響〕,第一學習階段,,5,享用、享有、享受、享福、分享
0064,京,亠,8,jīng,ging1〔經〕,第一學習階段,,2,京城、北京
0065,亭,亠,9,tíng,ting4〔廷〕,第一學習階段,,1,亭子
0066,亮,亠,9,liɑ̀ng,loeng6〔諒〕,第一學習階段,,10,亮光、亮相、天亮、月亮、光亮、明亮、閃亮、漂亮、嘹亮、響亮
0067,人,人,2,rén,jan4〔仁〕,第一學習階段,①把書還給人家 ②數戶人家,106,人口、人士、人工、人才、人材、人心、人手、人民、人民幣、人生、人生觀、人次、人行道、行人道、人均、人身、人事、人性、人物、人流、人為、人們、人員、人家、人格、人參、人情、人情味、人蛇、人造、人間、人道、人像、人滿之患、人數、人質、人選、人頭、人類、人權、人體、人羣、一鳴驚人、大人、女人、工人、夫人、引人入勝、文人、主人、主人翁、他人、出人意料、出人意表、古人、外人、外星人、巨人、本人、犯人、名人、成人、扣人心弦、老人家、行人、別人、男人、私人、前人、客人、後人、為人、耐人尋味、軍人、個人、候選人、家人、恩人、旁人、病人、迷人、做人、偉人、動人、商人、國人、婦人、專人、情人、眾人、途人、華人、超人、傭人、感人、愛人、路人、遊人、僕人、敵人、親人、鮮為人知、獵人、藝人、驕人、驚人
0068,仁,人,4,rén,jan4〔人〕,第二學習階段,,3,仁民愛物、仁慈、一視同仁
0069,什,人,4,shén,sam6〔甚〕,第一學習階段,,6,甚麼、什麼、沒甚麼、沒什麼、為甚麼、為什麼
0071,今,人,4,jīn,gam1〔金〕,第一學習階段,,10,今天、今日、今夜、今晚、今後、今宵、如今、至今、現今、當今
0074,仇,人,4,chóu,sau4〔愁〕,第二學習階段,,2,仇恨、報仇
0075,仍,人,4,réng,jing4〔形〕,第一學習階段,,2,仍然、仍舊
0076,介,人,4,jiè,gaai3〔界〕,第一學習階段,,6,介入、介乎、介紹、介意、媒介、簡介
0077,付,人,5,fù,fu6〔父〕,第一學習階段,,4,支付、對付、應付、繳付
0078,仔,人,5,zǐ；zɑ̌i,zi2〔止〕；zai2〔濟2〕,第一學習階段,,3,仔細、公仔、車仔麪
0080,他,人,5,tɑ̄,taa1〔它〕,第一學習階段,,7,他人、他們、其他、結他、吉他、維生素、維他命
0081,仗,人,5,zhɑ̀ng,zoeng3〔漲〕；zoeng6〔丈〕,第二學習階段,①打仗 ②仗義執言,1,打仗
0082,代,人,5,dɑ̀i,doi6〔待〕,第一學習階段,,22,代表、代理、代替、代價、代數、代碼、代辦、一代、世代、古代、交代、年代、取代、取而代之、近代、後代、時代、現代、現代化、朝代、當代、歷代
0083,令,人,5,lìng,ling6〔另〕,第一學習階段,,4,下令、司令、命令、法令
0085,以,人,5,yǐ,ji5〔耳〕,第二學習階段,,27,以內、以及、以外、以至、以免、以身作則、以來、以往、以便、以前、以後、以為、以致、不以為然、予以、加以、可以、全力以赴、如願以償、何以、足以、夜以繼日、日以繼夜、所以、得以、掉以輕心、難以
0086,仙,人,5,xiɑ̄n,sin1〔先〕,第一學習階段,,4,仙女、仙境、水仙、神仙
0087,仿,人,6,fɑ̌ng,fong2〔訪〕,第一學習階段,,2,仿照、模仿
0089,伙,人,6,huǒ,fo2〔火〕,第二學習階段,,6,夥伴、伙伴、入伙、大伙（兒）、小伙子、傢伙
0090,伊,人,6,yī,ji1〔衣〕,第一學習階段,,3,伊麪、回教、伊斯蘭教
0092,伍,人,6,wǔ,ng5〔午〕,第一學習階段,,2,退伍、隊伍
0093,伐,人,6,fɑ́,fat6〔乏〕,第二學習階段,,1,步伐
0094,休,人,6,xiū,jau1〔丘〕,第二學習階段,,5,休息、休閒、休養、休憩、退休
0095,伏,人,6,fú,fuk6〔服〕,第二學習階段,,4,伏特、埋伏、起伏、潛伏
0096,任,人,6,rèn,jam6〔飪〕,第二學習階段,,17,任用、任由、任何、任命、任性、任務、任意、任職、主任、出任、放任、信任、重任、班主任、責任、勝任、擔任
0099,企,人,6,qǐ,kei5〔奇5〕,第一學習階段,,4,企業、企圖、企鵝、高企
0100,件,人,6,jiɑ̀n,gin6〔健〕,第一學習階段,,14,文件、事件、物件、附件、信件、案件、配件、條件、軟件、部件、硬件、郵件、零件、證件
0101,仰,人,6,yɑ̌ng,joeng5〔養〕,第二學習階段,,4,仰慕、信仰、景仰、瞻仰
0102,份,人,6,fèn,fan6〔分6〕,第一學習階段,,32,分外、份外、份量、分量、一部分、一部份、大部分、大部份、月份、水分、水份、充份、充分、年份、成份、成分、身份、身分、身份證、身分證、知識份子、知識分子、股份、時分、時份、部分、部份、等份、過分、過份、養份、養分
0103,位,人,7,wèi,wai6〔慧〕,第一學習階段,,14,位置、穴位、各位、地位、個位、座位、崗位、部位、單位、學位、櫃位、職位、攤位、牀位
0104,住,人,7,zhù,zyu6〔箸〕,第一學習階段,,12,住宅、住址、住房、住所、住院、住宿、住户、不住、忍不住、居住、記住、禁不住
0107,伴,人,7,bɑ̀n,bun6〔叛〕,第二學習階段,,7,伴侶、伴奏、同伴、陪伴、結伴、夥伴、伙伴
0109,佛,人,7,fó,fat6〔伐〕；fat1〔弗〕,第二學習階段,,1,佛教
0110,何,人,7,hé,ho4〔河〕,第一學習階段,,11,何以、何去何從、何必、何況、何等、任何、如何、為何、幾何、無可奈何、無論如何
0111,估,人,7,gū,gu2〔古〕,第一學習階段,,3,估計、估算、評估
0113,佑,人,7,yòu,jau6〔又〕,第二學習階段,,1,保佑
0114,佈,人,7,bù,bou3〔報〕,第一學習階段,,16,布景、佈景、布置、佈置、公布、公佈、分佈、分布、宣布、宣佈、散佈、散布、發布、發佈、頒佈、頒布
0117,伸,人,7,shēn,san1〔申〕,第一學習階段,,3,伸展、伸縮、延伸
0119,佔,人,7,zhɑ̀n,zim3〔漸3〕,第二學習階段,,5,佔用、佔地、佔有、佔領、佔據
0120,似,人,7,sì；shì,ci5〔恃〕,第一學習階段,,5,似乎、似的、近似、相似、類似
0121,但,人,7,dɑ̀n,daan6〔憚〕,第一學習階段,,2,但是、不但
0122,佣,人,7,yòng,jung2〔擁〕,第二學習階段,,1,佣金
0123,作,人,7,zuò,zok3〔昨〕,第一學習階段,,34,作文、作用、作曲、作弄、作者、作品、作為、作風、作家、作案、作惡、作答、作業、作弊、作戰、農作物、作物、工作、以身作則、合作、協作、動作、習作、傑作、創作、勞作、發作、著作、當作、當做、運作、製作、寫作、操作
0124,你,人,7,nǐ,nei5〔尼5〕,第一學習階段,,2,你們、迷你
0125,伯,人,7,bó,baak3〔百〕,第一學習階段,,3,伯父、伯母、伯伯
0126,低,人,7,dī,dai1〔底1〕,第一學習階段,,4,低下、低廉、低頭、高低
0127,伶,人,7,líng,ling4〔鈴〕,第二學習階段,,1,伶俐
0131,依,人,8,yī,ji1〔衣〕,第一學習階段,,7,依傍、依然、依照、依靠、依據、依賴、依舊
0132,併,人,8,bìng,bing3〔冰3〕,第二學習階段,,1,合併
0133,侍,人,8,shì,si6〔士〕,第一學習階段,,2,侍從、侍應
0134,佳,人,8,jiɑ̄,gaai1〔街〕,第一學習階段,,2,佳音、佳節
0135,使,人,8,shǐ,si2〔史〕；si3〔試〕,第一學習階段,①使人滿意 ②出使,13,使用、使命、使勁、使得、大使、天使、即使、促使、致使、迫使、假使、縱使、驅使
0136,佬,人,8,lɑ̌o,lou2〔老2〕,第二學習階段,,1,闊佬
0137,供,人,8,gōng；gòng,gung1〔工〕；gung3〔貢〕,第一學習階段,①供應 ②口供 ③供奉,4,供不應求、供款、供應、提供
0138,例,人,8,lì,lai6〔麗〕,第一學習階段,,14,例子、例外、例如、例證、比例、史無前例、立例、事例、法例、條例、規例、照例、實例、舉例
0139,來,人,8,lɑ́i,loi4〔萊〕,第一學習階段,①快下來 ②把事件記錄下來,39,來不及、來回、來年、來自、來到、來往、來信、來得及、來源、來電、來歷、來臨、一來、下來、上來、以來、出來、外來、本來、未來、向來、回來、自來水、到頭來、往來、近來、前來、後來、看來、突如其來、原來、起來、將來、從來、捲土重來、進來、過來、歷來、歸來
0142,侈,人,8,chǐ,ci2〔始〕,第二學習階段,,1,奢侈
0143,佩,人,8,pèi,pui3〔配〕,第一學習階段,,3,佩服、欽佩、敬佩
0147,信,人,9,xìn,seon3〔訊〕,第一學習階段,,24,信心、信用、信用卡、信件、信任、信仰、信奉、信念、信封、信徒、信息、信貸、信號、信箱、可信、回信、守信、自信、來信、相信、書信、迷信、深信、通信
0148,侵,人,9,qīn,cam1〔尋1〕,第一學習階段,,7,侵入、侵犯、侵害、侵略、侵蝕、侵襲、入侵
0149,侯,人,9,hóu,hau4〔喉〕,第二學習階段,,1,諸侯
0150,便,人,9,biɑ̀n；piɑ́n,bin6〔辯〕；pin4〔片4〕,第一學習階段,,13,便利、便利店、便宜、大便、小便、不便、方便、以便、順便、輕便、隨便、糞便、簡便
0151,俠,人,9,xiɑ́,hap6〔合〕,第一學習階段,,1,武俠
0154,保,人,9,bɑ̌o,bou2〔寶〕,第二學習階段,,22,保存、保守、保安、保佑、保姆、保持、保留、保健、保密、保管、保障、保養、保險、保鮮、保證、保釋、保齡球、保護、保温、保衞、確保、環保
0155,促,人,9,cù,cuk1〔束〕,第一學習階段,,7,促成、促使、促進、急促、敦促、短促、催促
0156,侶,人,9,lǚ,leoi5〔旅〕,第二學習階段,,1,伴侶
0158,俘,人,9,fú,fu1〔夫〕,第二學習階段,,1,俘虜
0160,俊,人,9,jùn,zeon3〔進〕,第二學習階段,,1,英俊
0161,俗,人,9,sú,zuk6〔族〕,第二學習階段,,7,俗話、俗稱、俗語、民俗、風俗、習俗、通俗
0162,侮,人,9,wǔ,mou5〔母〕,第二學習階段,,1,侮辱
0163,俐,人,9,lì,lei6〔利〕,第二學習階段,,1,伶俐
0165,係,人,9,xì,hai6〔繫〕,第一學習階段,,2,沒關係、關係
0169,倍,人,10,bèi,pui5〔培5〕,第一學習階段,,2,倍數、事半功倍
0171,俯,人,10,fǔ,fu2〔苦〕,第二學習階段,,1,俯瞰
0172,倦,人,10,juɑ̀n,gyun6〔捐6〕,第一學習階段,,1,疲倦
0176,倖,人,10,xìng,hang6〔杏〕,第二學習階段,,1,僥倖
0177,倆,人,10,liɑ̌,loeng5〔兩〕,第二學習階段,,0,
0178,值,人,10,zhí,zik6〔夕〕,第二學習階段,,10,值班、值得、值勤、值錢、貶值、當值、價值、增值、儲值、總值
0179,借,人,10,jiè,ze3〔蔗〕,第一學習階段,,0,
0180,倚,人,10,yǐ,ji2〔椅〕,第二學習階段,,0,
0181,倒,人,10,dɑ̌o；dɑ̀o,dou2〔島〕；dou3〔到〕,第一學習階段,①倒下 ②倒茶 ③倒流 ④他說得倒容易,11,倒映、倒退、倒閉、倒塌、倒霉、倒轉、打倒、傾倒、潦倒、壓倒、顛倒
0182,們,人,10,men,mun4〔門〕,第一學習階段,,8,人們、他們、它們、她們、你們、我們、牠們、咱們
0185,倔,人,10,jué,gwat6〔掘〕,第二學習階段,,1,倔強
0187,俱,人,10,jù,keoi1〔拘〕,第二學習階段,,2,俱樂部、一應俱全
0188,倡,人,10,chɑ̀ng,coeng3〔唱〕；coeng1〔窗〕,第二學習階段,,1,提倡
0189,個,人,10,gè,go3〔哥3〕,第一學習階段,,13,個（兒）、個人、個子、個位、個別、個兒、個性、個案、個體、那個、哪個、這個、整個
0190,候,人,10,hòu,hau6〔后〕,第一學習階段,,6,候選人、有時候、時候、氣候、問候、等候
0191,倘,人,10,tɑ̌ng,tong2〔躺〕,第二學習階段,,3,假如、倘若、假若
0193,修,人,10,xiū,sau1〔收〕,第一學習階段,,14,修女、修正、修改、修建、修訂、修剪、修理、修補、修養、修築、進修、裝修、維修、整修
0196,俾,人,10,bǐ,bei2〔比〕,第二學習階段,,0,
0197,倫,人,10,lún,leon4〔淪〕,第二學習階段,,2,倫理、天倫
0198,倉,人,10,cɑ̄ng,cong1〔蒼〕,第一學習階段,,3,倉庫、倉鼠、貨倉
0199,偽,人,11,wěi,ngai6〔藝〕,第二學習階段,,1,虛偽
0200,停,人,11,tíng,ting4〔廷〕,第一學習階段,,6,停止、停車場、停泊、停留、停頓、不停
0201,偏,人,11,piɑ̄n,pin1〔編〕,第二學習階段,,5,偏見、偏食、偏差、偏偏、偏僻
0202,假,人,11,jiɑ̌；jiɑ̀,gaa2〔賈〕；gaa3〔嫁〕,第一學習階段,①假冒 ②假期,13,假日、假如、倘若、假若、假使、假冒、假設、假期、放假、寒假、暑假、虛假、請假
0205,做,人,11,zuò,zou6〔造〕,第一學習階段,,9,做人、做工、做事、做法、做飯、叫做、度身訂做、當作、當做
0206,偉,人,11,wěi,wai5〔韋〕,第一學習階段,,4,偉人、偉大、宏偉、雄偉
0207,健,人,11,jiɑ̀n,gin6〔件〕,第一學習階段,,6,健全、健壯、健身、健美、健康、保健
0208,偶,人,11,ǒu,ngau5〔藕〕,第二學習階段,,7,偶然、偶像、偶爾、偶而、偶數、木偶、布偶
0210,偕,人,11,xié,gaai1〔佳〕,第二學習階段,,0,
0211,偵,人,11,zhēn,zing1〔晶〕,第二學習階段,,3,偵查、偵探、偵察
0212,側,人,11,cè,zak1〔則〕,第一學習階段,,1,側重
0214,偷,人,11,tōu,tau1〔頭1〕,第一學習階段,,4,偷偷、偷渡、偷竊、小偷
0215,傢,人,12,jiɑ̄,gaa1〔加〕,第二學習階段,,1,傢伙
0216,傍,人,12,bɑ̀ng,pong4〔旁〕；bong6〔磅〕,第一學習階段,,2,傍晚、依傍
0217,傅,人,12,fù,fu6〔父〕,第二學習階段,,1,師傅
0218,備,人,12,bèi,bei6〔鼻〕,第二學習階段,,10,備受、具備、軍備、配備、設備、責備、準備、裝備、預備、籌備
0219,傑,人,12,jié,git6〔桀〕,第二學習階段,,3,傑出、傑作、豪傑
0222,傘,人,12,sɑ̌n,saan3〔散〕,第一學習階段,,1,雨傘
0223,傭,人,13,yōng,jung4〔容〕,第一學習階段,,1,傭人
0224,債,人,13,zhɑ̀i,zaai3〔齋3〕,第二學習階段,,3,債券、債務、負債
0225,傲,人,13,ɑ̀o,ngou6〔敖6〕,第一學習階段,,1,驕傲
0226,傳,人,13,chuɑ́n；zhuɑ̀n,cyun4〔全〕；zyun6〔鑽6〕,第一學習階段,①宣傳 ②傳記,20,傳奇、傳染、傳染病、傳真、傳記、傳送、傳授、傳教、傳統、傳媒、傳達、傳遞、傳播、傳説、宣傳、流傳、相傳、家喻户曉、家傳户曉、遺傳
0227,僅,人,13,jǐn,gan2〔緊〕,第二學習階段,,2,僅僅、不僅
0228,傾,人,13,qīng,king1〔頃1〕,第一學習階段,①傾倒眾生 ②傾倒垃圾,5,傾向、傾倒、傾斜、傾瀉、傾聽
0229,催,人,13,cuī,ceoi1〔吹〕,第一學習階段,,1,催促
0230,傷,人,13,shɑ̄ng,soeng1〔商〕,第二學習階段,,16,傷亡、傷口、傷心、傷者、傷風、傷害、傷殘、傷勢、傷感、灼傷、受傷、負傷、重傷、救傷、創傷、悲傷
0231,傻,人,13,shɑ̌,so4〔梳4〕,第二學習階段,,1,傻子
0232,僧,人,14,sēng,zang1〔增〕,第二學習階段,,1,僧尼
0234,僱,人,14,gù,gu3〔固〕,第二學習階段,,3,僱主、僱用、僱員
0235,僥,人,14,jiɑ̌o,hiu1〔囂〕,第二學習階段,,1,僥倖
0239,僕,人,14,pú,buk6〔瀑〕,第一學習階段,,2,僕人、公僕
0240,像,人,14,xiɑ̀ng,zoeng6〔丈〕,第一學習階段,,14,人像、石像、好像、肖像、音像、偶像、畫像、塑像、想像、圖像、銅像、影像、錄像、錄影
0241,僑,人,14,qiɑ́o,kiu4〔喬〕,第二學習階段,,1,華僑
0242,億,人,15,yì,jik1〔益〕,第二學習階段,,0,
0243,儀,人,15,yí,ji4〔而〕,第一學習階段,①儀表出眾 ②壓力檢測儀表,8,儀式、儀表、儀容、儀器、司儀、地球儀、殯儀館、禮儀
0244,僻,人,15,pì,pik1〔辟〕,第一學習階段,,1,偏僻
0245,僵,人,15,jiɑ̄ng,goeng1〔疆〕,第二學習階段,,1,僵硬
0246,價,人,15,jiɑ̀,gaa3〔嫁〕,第一學習階段,,13,價值、價格、價錢、代價、加價、定價、物價、特價、討價還價、售價、票價、減價、評價
0249,儉,人,15,jiɑ̌n,gim6〔兼6〕,第二學習階段,,3,儉樸、勤儉、節儉
0251,儒,人,16,rú,jyu4〔如〕,第二學習階段,,1,儒學
0252,儘,人,16,jǐn,zeon2〔准〕；zeon6〔盡〕,第二學習階段,,4,儘快、盡快、儘量、儘管
0254,儲,人,17,chǔ,cyu5〔柱〕,第一學習階段,,3,儲存、儲值、儲蓄
0255,優,人,17,yōu,jau1〔丘〕,第一學習階段,,14,優先、優劣、優秀、優良、優待、優美、優異、優勝、優惠、優越、優雅、優勢、優質、優點
0256,償,人,17,chɑ́ng,soeng4〔常〕,第二學習階段,,3,如願以償、補償、賠償
0261,元,儿,4,yuɑ́n,jyun4〔原〕,第一學習階段,,11,元旦、元帥、元宵、元素、公元、多元、狀元、美元、單元、復元、港元
0262,允,儿,4,yǔn,wan5〔尹〕,第二學習階段,,1,允許
0263,兄,儿,5,xiōng,hing1〔輕〕,第一學習階段,,4,兄弟、兄妹、兄長、弟兄
0264,充,儿,6,chōng,cung1〔沖〕,第一學習階段,,11,充份、充分、充沛、充足、充裕、充實、充滿、充饑、填充、補充、擴充
0265,光,儿,6,guɑ̄ng,gwong1〔廣1〕,第一學習階段,,35,光禿禿、光芒、光明、光亮、光彩、光陰、光復、光景、光滑、光榮、光盤、光碟、光線、光輝、光澤、X 光、五光十色、月光、火光、目光、爭光、亮光、風光、時光、眼光、發揚光大、陽光、燈光、曙光、燭光、曝光、鐳射、雷射、激光、觀光
0266,兇,儿,6,xiōng,hung1〔空〕,第一學習階段,,4,兇手、兇徒、兇猛、兇惡
0267,兆,儿,6,zhɑ̀o,siu6〔紹〕,第二學習階段,,1,預兆
0268,先,儿,6,xiɑ̄n,sin1〔仙〕,第一學習階段,,16,先天、先生、先前、先後、先進、事先、爭先恐後、首先、原先、祖先、起先、率先、搶先、預先、領先、優先
0269,克,儿,7,kè,hak1〔刻〕,第一學習階段,,5,克服、千克、朱古力、巧克力、坦克
0270,兑,儿,7,duì,deoi3〔對〕,第二學習階段,,1,兑換
0271,免,儿,7,miɑ̌n,min5〔勉〕,第二學習階段,,9,免疫、免得、免費、不免、以免、未免、寬免、避免、難免
0273,兔,儿,8,tù,tou3〔吐〕,第一學習階段,,1,兔子
